Employee,OrganizationalUnit,OrganizationalUnitDescription,Position,PositionDescription,EmployeeSubGroupDescription,Date,DayOfWeek,PT63DailyWorkSchedule,PT63DailyWorkScheduleDescription,StartTime,EndTime,PT63DailyWorkingHrs,DefaultCounterColumn,MaterializedViewLatestUpdateDate,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,13/06/2021 00:00,Sunday,DKCI,DOM WKEND CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,14/06/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,15/06/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,16/06/2021 00:00,Wednesday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,17/06/2021 00:00,Thursday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,18/06/2021 00:00,Friday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,19/06/2021 00:00,Saturday,DKVR,DOM WKEND VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,20/06/2021 00:00,Sunday,DKVR,DOM WKEND VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,21/06/2021 00:00,Monday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,22/06/2021 00:00,Tuesday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,23/06/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,24/06/2021 00:00,Thursday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,25/06/2021 00:00,Friday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,26/06/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,27/06/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,28/06/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
